    PID TTY          TIME CMD
  49752 pts/1    00:00:08 java
  49863 pts/1    00:00:01 java
  49916 pts/1    00:00:00 sh
  49917 pts/1    00:00:00 ps
.
..
.gitignore
pom.xml
README.md
src
target
    PID TTY          TIME CMD
    634 pts/0    00:00:00 bash
   2087 pts/0    00:00:08 java
   2145 pts/0    00:00:02 java
   2172 pts/0    00:00:00 sh
   2174 pts/0    00:00:00 ps
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23236 13940 ?        Ss   14:58   0:01 /sbin/init splash
root          39  0.0  0.0      0     0 ?        S    14:58   0:00 [cpuhp/4]
root          40  0.0  0.0      0     0 ?        S    14:58   0:00 [idle_inject/4]
root          41  0.0  0.0      0     0 ?        S    14:58   0:00 [migration/4]
root          42  0.0  0.0      0     0 ?        S    14:58   0:00 [ksoftirqd/4]
root          44  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/4:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    14:58   0:00 [cpuhp/5]
root          46  0.0  0.0      0     0 ?        S    14:58   0:00 [idle_inject/5]
root          47  0.0  0.0      0     0 ?        S    14:58   0:00 [migration/5]
root          48  0.0  0.0      0     0 ?        S    14:58   0:00 [ksoftirqd/5]
root          50  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/5:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    14:58   0:00 [cpuhp/6]
root          52  0.0  0.0      0     0 ?        S    14:58   0:00 [idle_inject/6]
root          53  0.0  0.0      0     0 ?        S    14:58   0:00 [migration/6]
root          54  0.0  0.0      0     0 ?        S    14:58   0:00 [ksoftirqd/6]
root          56  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/6:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    14:58   0:00 [cpuhp/7]
root          58  0.0  0.0      0     0 ?        S    14:58   0:00 [idle_inject/7]
root          59  0.0  0.0      0     0 ?        S    14:58   0:00 [migration/7]
root          60  0.0  0.0      0     0 ?        S    14:58   0:00 [ksoftirqd/7]
root          62  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/7:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    14:58   0:00 [cpuhp/8]
root          64  0.0  0.0      0     0 ?        S    14:58   0:00 [idle_inject/8]
root          65  0.0  0.0      0     0 ?        S    14:58   0:00 [migration/8]
root          66  0.0  0.0      0     0 ?        S    14:58   0:00 [ksoftirqd/8]
root          68  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/8:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    14:58   0:00 [cpuhp/9]
root          70  0.0  0.0      0     0 ?        S    14:58   0:00 [idle_inject/9]
root          71  0.0  0.0      0     0 ?        S    14:58   0:00 [migration/9]
root          72  0.0  0.0      0     0 ?        S    14:58   0:00 [ksoftirqd/9]
root          74  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/9:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    14:58   0:00 [cpuhp/10]
